N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation
151,100,3,3,13.97308397,0.008024242,2.816048622,1.06259799,0.065395594,0.00175415,0.002441406
152,100,3,3,14.04682565,0.008142438,3.519055605,1.090415001,0.066599846,0.001574197,0.00257206
153,100,3,3,14.26170349,0.00797219,2.786313057,1.061262131,0.064824104,0.001653359,0.002600431
154,100,3,3,14.10371661,0.00875448,2.783330441,1.051081419,0.059492826,0.001563559,0.002474546
155,100,3,3,14.99455285,0.007901266,2.896955967,1.057585478,0.062170744,0.001749117,0.002422333
156,100,3,3,13.98446298,0.008154726,2.792711735,1.051655054,0.059873104,0.001563516,0.002507687
157,100,3,3,14.18214869,0.008070147,2.800229549,1.060215235,0.061243773,0.00166194,0.002454519
158,100,3,3,14.43092895,0.008112872,2.770895958,1.085285664,0.062558413,0.001548791,0.00241971
159,100,3,3,14.08071542,0.008235216,2.815526962,1.100088835,0.062120676,0.00155751,0.002624273
160,100,3,3,14.14479899,0.008015823,2.812469482,1.076773643,0.061805248,0.001655748,0.002628565
161,100,3,3,14.07975864,0.008238368,2.790775299,1.056547403,0.060981512,0.001544633,0.002449989
162,100,3,3,14.04915237,0.008091321,2.767334461,1.052419662,0.060500145,0.001556997,0.002457857
163,100,3,3,13.95947814,0.008325112,3.241568565,1.29677248,0.065894604,0.001678276,0.002535343
164,100,3,3,18.56245923,0.010858705,3.939750195,1.535693884,0.060489416,0.001527269,0.002449751
165,100,3,3,17.62370443,0.009121976,2.865457535,1.268743515,0.133454084,0.002386336,0.003309727
166,100,3,3,15.01955128,0.008009281,2.809277296,1.050898552,0.062893391,0.00153209,0.002447128
167,100,3,3,15.10741997,0.013896563,3.28590107,1.39264822,0.188732386,0.001735744,0.002439737
168,100,3,3,16.20299268,0.010879045,2.994011164,1.037358522,0.063553333,0.001633573,0.002420425
169,100,3,3,13.7640152,0.007924032,2.68378067,1.031270027,0.067279577,0.001677463,0.002411366
170,100,3,3,13.69731593,0.007806501,2.813329935,1.029535055,0.064635038,0.001645288,0.002470493
171,100,3,3,13.75983381,0.007911592,2.689832449,1.038822651,0.065389156,0.001619637,0.002392769
172,100,3,3,13.68438148,0.007858949,2.668603897,1.092735291,0.071888924,0.001638305,0.002408504
173,100,3,3,13.75371981,0.008090076,2.805826426,1.028531551,0.063858509,0.001506345,0.002398729
174,100,3,3,16.53786898,0.008988805,2.899340153,1.091482878,0.065458775,0.001616595,0.002489328
175,100,3,3,17.53877997,0.016722231,4.050966024,2.009534359,0.155676603,0.002275472,0.003457069
176,100,3,3,17.58172584,0.010566354,4.801926851,1.284002542,0.06274581,0.001547377,0.003074408
177,100,3,3,15.66112185,0.009013743,3.844893694,1.970054865,0.06759572,0.002833784,0.002409458
178,100,3,3,15.62533379,0.008439202,3.061774254,1.113636494,0.060605764,0.002093089,0.004667282
179,100,3,3,18.49424076,0.015923433,5.097546816,2.352509022,0.222599268,0.003361149,0.00511837
180,100,3,3,20.71637774,0.008536777,2.936535835,1.626851082,0.104286671,0.001874754,0.002502918
181,100,3,3,15.61444473,0.008624446,2.970976591,1.3904109,0.062961817,0.001856475,0.003040552
182,100,3,3,14.59874678,0.008734512,2.923924923,1.758430004,0.158342361,0.003192687,0.005084276
183,100,3,3,17.27315021,0.009280131,2.957312346,1.249685049,0.081950426,0.002046397,0.004853487
184,100,3,3,15.88440919,0.00825877,2.984545231,1.081211329,0.065714598,0.001557076,0.002894163
185,100,3,3,14.67033529,0.008653202,2.959096432,1.271062374,0.066519022,0.00155298,0.002532959
186,100,3,3,15.51140237,0.011128435,3.526394367,1.223052025,0.059200048,0.001528625,0.002472639
187,100,3,3,16.253196,0.011638772,4.198875666,1.200433254,0.068537712,0.001893232,0.002554417
188,100,3,3,21.61621761,0.012782919,4.593436718,1.753441811,0.070669413,0.00178514,0.004209757
189,100,3,3,16.18158841,0.008882728,3.20904994,1.578722,0.160615206,0.002540369,0.00241518
190,100,3,3,17.12111735,0.009646413,2.713848829,1.183646202,0.074867725,0.001820426,0.003071785
191,100,3,3,14.15276599,0.007948349,3.046491385,1.306462049,0.104365587,0.002222569,0.002693892
192,100,3,3,16.11804962,0.009667618,3.676510096,1.533704042,0.063187838,0.001614974,0.002524614
193,100,3,3,13.8251307,0.007908545,3.163687229,1.152642965,0.064397573,0.001539266,0.002404928
194,100,3,3,14.49630642,0.007791226,2.812892437,1.04586482,0.06161499,0.001710677,0.002721071
195,100,3,3,13.65842223,0.007774084,2.705371141,1.036361694,0.058688164,0.001671674,0.00248003
196,100,3,3,13.78563643,0.007817266,2.696908474,1.033582449,0.059118271,0.001641629,0.002423525
197,100,3,3,13.61769843,0.007777781,2.69979763,1.027038813,0.061600208,0.001507659,0.002427816
198,100,3,3,13.66423154,0.007792604,2.692192793,1.054574013,0.059192657,0.001525006,0.00250721
199,100,3,3,13.80877876,0.007752552,2.704921246,1.102838755,0.059321165,0.00153039,0.003424644
200,100,3,3,13.69829249,0.008520203,2.699934244,1.050666809,0.05945158,0.00153507,0.003162384
201,150,3,3,23.45973039,0.009259756,5.308733702,1.656367302,0.087453127,0.001925429,0.002589226
202,150,3,3,22.41255474,0.009366695,4.546675682,1.538345337,0.088917017,0.001739546,0.002414465
203,150,3,3,21.72060895,0.008864101,4.961946964,1.559262753,0.100218534,0.001802316,0.002381802
204,150,3,3,23.51980948,0.008300282,4.974172831,1.847934484,0.114920855,0.001937512,0.002472162
205,150,3,3,23.00397444,0.009698009,4.860716581,1.758309126,0.145370483,0.001856039,0.002525568
206,150,3,3,24.4223659,0.011219501,5.027606487,1.479738474,0.088632107,0.00175015,0.002466679
207,150,3,3,24.63405919,0.007997398,4.452085018,1.456276655,0.091514826,0.00175618,0.002536058
208,150,3,3,21.35288858,0.007929648,5.374321699,1.608641863,0.089092016,0.001733135,0.002519131
209,150,3,3,22.65692949,0.008861535,4.485482693,1.571644068,0.087955236,0.001847847,0.002430439
210,150,3,3,20.65711999,0.00789008,4.452187538,1.447221041,0.089485407,0.001895755,0.002380848
211,150,3,3,24.932657,0.009045598,5.674631596,1.908278465,0.125948906,0.001768853,0.002407074
212,150,3,3,24.13123584,0.007855514,4.440978765,1.452241182,0.090556622,0.001752419,0.00240469
213,150,3,3,22.71270323,0.007889943,4.430834532,1.596245527,0.089267254,0.001749039,0.002388477
214,150,3,3,20.895154,0.007971536,4.443024397,1.451125383,0.088643789,0.001748586,0.002445936
215,150,3,3,21.07908368,0.007855759,4.461676359,1.463747501,0.08967042,0.001749646,0.002400637
216,150,3,3,20.64596772,0.007830478,4.466070414,1.424993038,0.095478773,0.001852633,0.002404213
217,150,3,3,20.80086279,0.007824942,4.443626404,1.439607382,0.088781357,0.001789563,0.002408504
218,150,3,3,20.94284844,0.007842306,4.441718578,1.439077854,0.088716984,0.001785878,0.004661322
219,150,3,3,20.76088262,0.007830782,4.482581615,1.442569017,0.088257551,0.001747732,0.002462626
220,150,3,3,20.55874324,0.007763534,4.506419182,1.433049917,0.102586746,0.001811698,0.002398729
221,150,3,3,20.7119832,0.007808169,4.426226854,1.426200628,0.088078022,0.001730135,0.002383471
222,150,3,3,20.77347589,0.007940081,4.479058266,1.445606709,0.088414431,0.001754777,0.002394676
223,150,3,3,20.57757711,0.008144341,4.435173273,1.440511703,0.097661257,0.0018355,0.002412319
224,150,3,3,20.62995982,0.007858334,4.418363571,1.44083786,0.088451624,0.001747287,0.00239706
225,150,3,3,22.16307497,0.0085768,6.133654356,1.588908672,0.102255106,0.001962919,0.002444506
226,150,3,3,22.61662626,0.00787886,4.423334122,1.447664022,0.087957859,0.001727079,0.002391338
227,150,3,3,22.13435245,0.008761783,5.690658331,1.893442869,0.136279583,0.002476557,0.004781008
228,150,3,3,24.24733686,0.008408608,5.157688856,2.319798231,0.238159418,0.003129131,0.002466917
229,150,3,3,23.30248117,0.010589131,7.047749996,1.812502861,0.094998598,0.001763508,0.002431154
230,150,3,3,24.43995905,0.009402157,7.611078262,2.830441952,0.191762924,0.00312219,0.002548218
231,150,3,3,25.31599212,0.009635369,6.400477648,2.860211134,0.253773451,0.004220695,0.007093906
232,150,3,3,59.32937622,0.007832298,4.468854904,1.455340624,0.088378429,0.001815287,0.002393007
233,150,3,3,20.75777769,0.008003316,4.452286005,1.427741051,0.089997053,0.001791164,0.00241375
234,150,3,3,20.65789557,0.007787051,4.404693365,1.458324194,0.089254856,0.001753538,0.002414703
235,150,3,3,20.69903803,0.007818144,4.547871113,1.429982185,0.096840143,0.001777004,0.002380848
236,150,3,3,20.48499298,0.00777915,4.405617237,1.440739632,0.087705374,0.001726621,0.002402067
237,150,3,3,20.58327174,0.00792426,4.508817673,1.443715334,0.094354868,0.001803482,0.002394915
238,150,3,3,20.80402374,0.008000882,4.457041264,1.439811707,0.091133356,0.001999396,0.002405643
239,150,3,3,20.48259783,0.007854633,5.30319643,1.450759172,0.089504004,0.001752914,0.002524853
240,150,3,3,20.82666564,0.007910186,4.474927187,1.473197937,0.099708796,0.001776385,0.002447605
241,150,3,3,20.57369256,0.007771765,4.383751869,1.50778079,0.090878248,0.001731033,0.002369165
242,150,3,3,20.4865191,0.007783341,4.438794136,1.427287102,0.096807241,0.001788379,0.002454281
243,150,3,3,20.53750706,0.007733459,4.384127855,1.448704958,0.092939615,0.001734193,0.00237608
244,150,3,3,20.95423865,0.007824297,4.690796137,1.431704998,0.089536905,0.002212857,0.005409479
245,150,3,3,20.76380825,0.007847358,4.40566206,1.450908184,0.08985734,0.001738729,0.002521992
246,150,3,3,20.67564535,0.007987129,4.453162432,1.436121464,0.10116148,0.001785889,0.002425194
247,150,3,3,20.73540401,0.007894351,4.438194275,1.443502188,0.093071222,0.001847221,0.002416134
248,150,3,3,20.66761208,0.007782151,4.396150112,1.452960014,0.088339806,0.001730448,0.002398014
249,150,3,3,20.61123705,0.007935618,4.437754154,1.439728975,0.092968941,0.00174634,0.002408743
250,150,3,3,20.68531799,0.007951285,4.458415031,1.451649666,0.088471651,0.001875137,0.002945423
251,150,3,3,20.56936741,0.007754505,4.415161848,1.444807053,0.088270664,0.001733203,0.00240922
252,150,3,3,20.88094926,0.007849325,4.423543692,1.454736471,0.088437796,0.001744485,0.002385378
253,150,3,3,20.83443475,0.00846957,4.432107449,1.465017796,0.096371889,0.001765493,0.002397299
254,150,3,3,20.90010762,0.007863633,4.518640041,1.493087053,0.095912457,0.001812568,0.002391815
255,150,3,3,20.9293654,0.016187631,5.272044897,1.573459864,0.088815212,0.002093678,0.002379417
256,150,3,3,21.16353965,0.007791778,4.577288389,1.466538906,0.09594965,0.001783603,0.002382278
257,150,3,3,20.81602883,0.007772652,4.53489399,1.444479227,0.088128805,0.00186241,0.002397537
258,150,3,3,20.57423329,0.007949815,4.457194805,1.455135584,0.094997168,0.001763512,0.002471924
259,150,3,3,20.61781454,0.007825108,4.400649309,1.519788027,0.088166237,0.001735465,0.002389431
260,150,3,3,20.86703634,0.0080685,4.744614601,1.480928898,0.091174364,0.001767302,0.002432108
261,150,3,3,20.73517632,0.007943519,4.72045517,1.454166174,0.091033459,0.001744151,0.002409697
262,150,3,3,21.18197083,0.007941219,4.43539381,1.424117565,0.087840319,0.001740899,0.002496481
263,150,3,3,20.71841216,0.007828875,4.431158543,1.449997187,0.088289738,0.001729372,0.002412558
264,150,3,3,20.58397722,0.009087442,4.740673065,1.441935778,0.08763504,0.001755665,0.002382517
265,150,3,3,22.86230087,0.007978708,4.43444252,1.469611168,0.090849638,0.001759979,0.002403021
266,150,3,3,21.6075666,0.009603114,4.644247055,1.451570511,0.089313269,0.001760715,0.002431154
267,150,3,3,20.63553071,0.007835159,4.470767498,1.446592808,0.090272427,0.001876702,0.002706289
268,150,3,3,20.72660685,0.008056054,4.581509829,1.443513632,0.088717222,0.001818746,0.002542257
269,150,3,3,24.54392314,0.008696151,4.87800765,1.744400263,0.097923279,0.002053725,0.002472639
270,150,3,3,25.56612563,0.008397257,4.856646299,1.449431658,0.088353872,0.001930672,0.00239706
271,150,3,3,22.41076899,0.008229403,4.896210194,1.561326027,0.122208357,0.00227668,0.002504587
272,150,3,3,23.12599421,0.008537121,5.581179857,1.565513611,0.09158802,0.001767484,0.002387047
273,150,3,3,23.96538091,0.011007344,4.813372374,1.45610404,0.093296051,0.001771606,0.002397537
274,150,3,3,21.22401428,0.007808156,4.518226147,1.464325428,0.089045286,0.001724547,0.002388477
275,150,3,3,20.96170855,0.007853085,4.499827147,1.460762024,0.089156628,0.001769778,0.002443314
276,150,3,3,22.33952475,0.007901546,4.498560429,1.439827204,0.090299845,0.001867479,0.002440453
277,150,3,3,20.71607709,0.007859438,4.503714323,1.502218008,0.090609312,0.0018012,0.002884388
278,150,3,3,21.03567457,0.007885323,4.493810654,1.444571018,0.089041948,0.001912955,0.002670527
279,150,3,3,20.69108629,0.007820288,4.452888489,1.450757265,0.090234518,0.001747901,0.002511263
280,150,3,3,20.99665999,0.007944857,4.455149651,1.461638689,0.097686052,0.001784755,0.002425432
281,150,3,3,20.65868092,0.007895632,4.54707098,1.442834139,0.08810401,0.001755336,0.00239706
282,150,3,3,20.66194487,0.00791244,4.479215622,1.423609257,0.093476534,0.00184293,0.002454042
283,150,3,3,20.74567461,0.018623352,4.534272671,1.512200117,0.098588943,0.001753726,0.002693892
284,150,3,3,20.75028062,0.007850726,4.431794167,1.482225895,0.087626219,0.001756941,0.002450466
285,150,3,3,20.54656506,0.007758179,4.413104534,1.428156614,0.08865428,0.001839886,0.002913237
286,150,3,3,20.60653281,0.007954542,4.587201595,1.467996597,0.08671689,0.001729301,0.002378702
287,150,3,3,20.69090629,0.007742243,4.803064823,1.437743664,0.086802959,0.001728457,0.00242734
288,150,3,3,20.64845777,0.007805924,4.610410452,1.445205212,0.089060307,0.001736833,0.002408266
289,150,3,3,20.56607652,0.00784066,4.394110441,1.42422843,0.089600325,0.001828877,0.002398252
290,150,3,3,20.9377265,0.007982133,4.579884052,1.471917152,0.099274874,0.001831169,0.002461672
291,150,3,3,20.69586849,0.007853208,4.420404434,1.425783873,0.088418484,0.001793863,0.002691746
292,150,3,3,20.50429416,0.007760846,4.423115253,1.531091928,0.088971853,0.001796203,0.002410173
293,150,3,3,20.50863051,0.007868568,4.494962454,1.582598209,0.09544611,0.001859864,0.002422333
294,150,3,3,20.34855843,0.007703708,4.363007069,1.409119606,0.088113785,0.001800919,0.0025177
295,150,3,3,20.50093865,0.007742524,4.447012901,1.446341038,0.088142872,0.001728492,0.00238204
296,150,3,3,21.39484072,0.007823456,5.094436407,1.483114004,0.095723629,0.001787895,0.002425194
297,150,3,3,21.16703725,0.008072842,4.601184845,1.519535065,0.101087809,0.001878117,0.002474546
298,150,3,3,21.26292467,0.008024667,4.595448017,1.485165596,0.104473591,0.001739942,0.00241971
299,150,3,3,20.72987747,0.007737945,4.419216871,1.460522413,0.087184906,0.001887368,0.002608776
300,150,3,3,20.72041035,0.007754003,4.417328358,1.44167757,0.089998722,0.001727959,0.002552986
